Name	RepresentID
强弓	68594
盾卫	68595
钱宗龙	68596
晏厄	67228
晏厄	68598
邢不僵	68599
晏灾	68600
孙楚珊	68601
鬼首	68603
水鬼	68604
防守位置	68606
灭火弹	68607
虎牙号海寇	68609
无面鬼	67269
无面鬼	67270
弓箭手	68613
船舱滚桶	68614
康赞	68615
康秋	68616
安全区域	68618
沈鸿飞	68619
安全区域	68620
虎突勇士	68621
虎牙号海寇	68622
强袭奴仆	68623
无耻混蛋	68624
伍藏野	68625
萧隆夏	68627
方耕牧	68628
方耕牧	68629
鑫鑫	67271
鑫鑫	67598
弓守	68633
洪于翔	68634
水鬼	68635
方家御海卫	68636
康家定海卫	68637
康家肃海卫	68638
尹家结阵手	68639
海龙会弓手	68642
无面鬼	67535
无面鬼	67533
海龙会突击海寇	68650
海龙会精锐海寇	68651
海龙会海寇	68652
海龙会奸诈海寇	68653
逃命的渔童	68654
逃命的渔童	68655
鱼枪	68656
康宴别	68657
方子游	68658
沈昊	68663
鲁余	68664
相巴邦	68665
梭梓榭	68666
海龙会女性海寇	68667
受轻伤的海寇	68668
受重伤的海寇	68669
无法动弹的海寇	68670
尹家护阵手	68674
独孤九	68678
穆玄英	68679
佘振	68680
鲨鱼	68682
火药弹	68683
濒死的海寇	68687
虚弱的海寇	68688
逃命的药农	68811
联军守卫	68708
联军侍卫	68709
李如峰	68710
水鬼	68711
水鬼	68712
唐优子	68098
浔郢	68099
联军弓箭手	68718
海龙会弓箭手	68719
尹拓	68724
大白羽	68725
白雕	68726
音符	67278
音律曲	67277
方家远海卫	68731
逃命的铁匠	68815
七柄	68838
八柄	68842
孙楚珊宝箱1	59015
孙楚珊宝箱2	59015
孙楚珊宝箱3	59015
孙楚珊宝箱4	59015
孙楚珊宝箱5	59015
孙楚珊宝箱6	59015
虎翼突袭宝箱1	59015
虎翼突袭宝箱2	59015
虎翼突袭宝箱3	59015
虎翼突袭宝箱4	59015
虎翼突袭宝箱5	59015
虎翼突袭宝箱6	59015
邢不僵宝箱1	59015
邢不僵宝箱2	59015
邢不僵宝箱3	59015
邢不僵宝箱4	59015
邢不僵宝箱5	59015
邢不僵宝箱6	59015
鬼首宝箱1	59015
鬼首宝箱2	59015
鬼首宝箱3	59015
鬼首宝箱4	59015
鬼首宝箱5	59015
鬼首宝箱6	59015
尹雪尘宝箱1	59015
尹雪尘宝箱2	59015
尹雪尘宝箱3	59015
尹雪尘宝箱4	59015
尹雪尘宝箱5	59015
尹雪尘宝箱6	59015
晏灾宝箱1	59015
晏灾宝箱2	59015
晏灾宝箱3	59015
晏灾宝箱4	59015
晏灾宝箱5	59015
晏灾宝箱6	59015
关卡宝箱	59015
通关宝箱	59015
思思	69073
叶鸦	69085
龙须	68663
龙须宝箱1	59015
龙须宝箱2	59015
龙须宝箱3	59015
龙须宝箱4	59015
龙须宝箱5	59015
龙须宝箱6	59015
